OID_,Value,Count,Clip_OutRaster_LC20_SCla_220,Clip_OutRaster_LC16_BPS_200,LABEL,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_ALLFIR
95,95,67075.000000000000000,3,763,C,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,9
96,96,155816.000000000000000,1,763,A,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,9
97,97,1248.000000000000000,7,763,UE,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,9
98,98,724495.000000000000000,120,760,Developed,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,10
99,99,178.000000000000000,180,783,Agriculture,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,865
100,100,89627.000000000000000,7,760,UE,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,10
101,101,47712.000000000000000,3,765,C,10280_2_3,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,15
102,102,276450.000000000000000,2,765,B,10280_2_3,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,15
103,103,113767.000000000000000,1,765,A,10280_2_3,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,15
104,104,13686.000000000000000,2,768,B,10310_2_3_4_5_6_12,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,9
105,105,67799.000000000000000,1,760,A,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,10
106,106,489.000000000000000,132,760,Barren or Sparse,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,10
107,107,83839.000000000000000,3,760,C,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,10
108,108,62790.000000000000000,120,765,Developed,10280_2_3,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,15
109,109,354573.000000000000000,5,765,E,10280_2_3,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,15
110,110,8783.000000000000000,3,768,C,10310_2_3_4_5_6_12,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,9
111,111,55.000000000000000,120,408,Developed,10020,Mediterranean California Sparsely Vegetated Systems,Sparse,NA
112,112,12784.000000000000000,120,763,Developed,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,9
113,113,1534438.000000000000000,180,760,Agriculture,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,10
114,114,27097.000000000000000,3,784,C,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,155
115,115,169414.000000000000000,2,762,B,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,9
116,116,1639.000000000000000,1,784,A,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,155
